Discipline,count,sex
3x3 Basketball,32,Female
Archery,64,Female
Artistic Gymnastics,98,Female
Artistic Swimming,105,Female
Athletics,969,Female
Badminton,86,Female
Baseball/Softball,90,Female
Basketball,144,Female
Beach Volleyball,48,Female
Boxing,102,Female
Canoe Slalom,41,Female
Canoe Sprint,123,Female
Cycling BMX Freestyle,10,Female
Cycling BMX Racing,24,Female
Cycling Mountain Bike,38,Female
Cycling Road,70,Female
Cycling Track,90,Female
Diving,72,Female
Equestrian,73,Female
Fencing,107,Female
Football,264,Female
Golf,60,Female
Handball,168,Female
Hockey,192,Female
Judo,192,Female
Karate,40,Female
Marathon Swimming,25,Female
Modern Pentathlon,36,Female
Rhythmic Gymnastics,96,Female
Rowing,257,Female
Rugby Sevens,146,Female
Sailing,175,Female
Shooting,178,Female
Skateboarding,40,Female
Sport Climbing,20,Female
Surfing,20,Female
Swimming,361,Female
Table Tennis,86,Female
Taekwondo,65,Female
Tennis,94,Female
Trampoline Gymnastics,16,Female
Triathlon,55,Female
Volleyball,144,Female
Water Polo,122,Female
Weightlifting,98,Female
Wrestling,96,Female
3x3 Basketball,32,Male
Archery,64,Male
Artistic Gymnastics,98,Male
Artistic Swimming,0,Male
Athletics,1072,Male
Badminton,87,Male
Baseball/Softball,144,Male
Basketball,144,Male
Beach Volleyball,48,Male
Boxing,187,Male
Canoe Slalom,41,Male
Canoe Sprint,126,Male
Cycling BMX Freestyle,9,Male
Cycling BMX Racing,24,Male
Cycling Mountain Bike,38,Male
Cycling Road,131,Male
Cycling Track,99,Male
Diving,71,Male
Equestrian,125,Male
Fencing,108,Male
Football,344,Male
Golf,60,Male
Handball,168,Male
Hockey,192,Male
Judo,201,Male
Karate,42,Male
Marathon Swimming,25,Male
Modern Pentathlon,36,Male
Rhythmic Gymnastics,0,Male
Rowing,265,Male
Rugby Sevens,151,Male
Sailing,175,Male
Shooting,178,Male
Skateboarding,40,Male
Sport Climbing,20,Male
Surfing,20,Male
Swimming,418,Male
Table Tennis,86,Male
Taekwondo,65,Male
Tennis,97,Male
Trampoline Gymnastics,16,Male
Triathlon,55,Male
Volleyball,144,Male
Water Polo,146,Male
Weightlifting,99,Male
Wrestling,193,Male
